Limit,Zr,O,La,La-Limiting Phase
ZrO2-O2,-10.9754,0.0,-9.46301592,La2Zr2O7
Zr3O-ZrO2,-0.1995,-5.3879,-1.3812659200000006,La2Zr2O7
