Interpolation_Parameter,Defect,Concentration,Cd,Te,Fermi Level
0.0,p0,512982.26690139057,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,n0,82662308.27727404,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Te_unperturbed,1.7640184152954292e-32,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Cd_Td,3.6257834773164173e-40,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Te_Cd_metastable2,8.342562421690166e-62,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Te_i_Td_Te2.83,5.554682465340736e-32,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Cd_C2v_Bipolaron_S1,1.8933578039368653e-38,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Te_orig_metastable,4.46188554053973e-26,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Cd_C2v_Bipolaron_S0,1.6567690521476862e-38,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Te_i_Td_Te2.83_C3v_meta,2.3545174858389732e-51,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Cd_i_Td_Cd2.83,0.30939758361460695,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Cd_Te,0.00045001902888003515,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Te_Cd,1.5881141770003266e-44,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Te_shaken,2.3857468212483564e-43,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Te_orig_non_JT_distorted,1.0570223699675006e-15,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Cd,6.84767365841754e-16,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Cd_Te_orig_C2v,1.1028523995209576e-18,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Te,62193.74057200771,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Cd_i_Td_Te2.83,41012551.6701372,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Te_Cd_-30%_metastable,1.1961388894373132e-63,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Te_Cd_metastable1,1.4475835015065977e-59,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Cd_Te_metastable,3.6532854360971423e-22,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,v_Te_C3v_low_energy_metastable,1.9775430334008388e-10,-1.01586484,-5.7220097228125,0.8145748711586007
0.0,Te_Cd_C3v_metastable,6.619178605343578e-55,-1.01586484,-5.7220097228125,0.8145748711586007
0.010101010101010102,p0,525350.233433893,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,n0,80716245.25644296,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Te_unperturbed,1.733980030139202e-32,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Cd_Td,3.896257659161536e-40,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Te_Cd_metastable2,8.491111815115192e-62,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Te_i_Td_Te2.83,5.388080133836969e-32,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Cd_C2v_Bipolaron_S1,2.0345974577010008e-38,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Te_orig_metastable,4.491650741285476e-26,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Cd_C2v_Bipolaron_S0,1.7803597896226182e-38,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Te_i_Td_Te2.83_C3v_meta,2.395305673630692e-51,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Cd_i_Td_Cd2.83,0.30196816308615304,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Cd_Te,0.0004528061922890863,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Te_Cd,1.655363575957897e-44,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Te_shaken,2.3451214052773775e-43,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Te_orig_non_JT_distorted,1.0897285010416231e-15,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Cd,7.01609892756638e-16,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Cd_Te_orig_C2v,1.0580488517735685e-18,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Te,67247.16239877437,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Cd_i_Td_Te2.83,40028023.07065801,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Te_Cd_-30%_metastable,1.188776273402678e-63,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Te_Cd_metastable1,1.4733594729901067e-59,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Cd_Te_metastable,3.5048701553740673e-22,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,v_Te_C3v_low_energy_metastable,2.0387316926882615e-10,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.010101010101010102,Te_Cd_C3v_metastable,7.065816412628366e-55,-1.0177247911111114,-5.722797503390152,0.8139589763641366
0.020202020202020204,p0,538012.6694173911,-1.0195847422222224,-5.723585283967804,0.8133432603836068
