,Defect,Charge,Formation Energy (eV),Concentration (cm^-3),Charge State Population,Total Concentration (cm^-3),Fermi Level,Electrons (cm^-3),Holes (cm^-3),Annealing Temperature,Quenched Temperature
27,v_Te,-1,2.926,2.4043494422092004e-26,0.0%,274.9069132940784,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
28,v_Te,-2,3.622,2.4569540959065674e-38,0.0%,274.9069132940784,0.7644032302603219,102743352.19070624,102373438.9813462,300.0,300.0
0,Cd_Te,2,1.659,0.00010511306589155302,100.0%,0.00010512567791541875,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
1,Cd_Te,1,1.957,1.2612022746741885e-08,0.0%,0.00010512567791541875,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
2,Cd_Te,0,2.376,1.1189919837050494e-15,0.0%,0.00010512567791541875,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
3,Cd_Te,-1,3.463,1.0345367835096853e-34,0.0%,0.00010512567791541875,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
4,Cd_Te,-2,4.582,2.0021582569694445e-52,0.0%,0.00010512567791541875,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
5,Cd_i_Td_Cd2.83,2,1.489,0.05010033280485988,91.5%,0.05474761395230472,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
6,Cd_i_Td_Cd2.83,1,1.569,0.004647281147125937,8.5%,0.05474761395230472,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
7,Cd_i_Td_Cd2.83,0,2.156,3.189026293460592e-13,0.0%,0.05474761395230472,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
8,Cd_i_Td_Te2.83,2,1.006,2002743.9555542057,100.0%,2002743.955855491,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
9,Cd_i_Td_Te2.83,1,1.609,0.00030128551125286506,0.0%,2002743.955855491,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
10,Cd_i_Td_Te2.83,0,2.471,4.943510092924041e-19,0.0%,2002743.955855491,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
11,Te_Cd,2,5.18,1.9494134785532242e-61,0.0%,2.2941466714846464e-40,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
12,Te_Cd,1,4.45,2.9197617601662636e-48,0.0%,2.2941466714846464e-40,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
13,Te_Cd,0,3.962,2.294146642284843e-40,100.0%,2.2941466714846464e-40,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
14,Te_Cd,-1,4.724,2.186033316992317e-52,0.0%,2.2941466714846464e-40,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
15,Te_Cd,-2,5.419,2.3113031719876718e-64,0.0%,2.2941466714846464e-40,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
16,Te_i_Td_Te2.83,2,4.344,3.244327524212757e-47,0.0%,2.678745278218615e-26,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
17,Te_i_Td_Te2.83,1,3.614,5.926038538914022e-35,0.0%,2.678745278218615e-26,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
18,Te_i_Td_Te2.83,0,3.099,2.678745272292576e-26,100.0%,2.678745278218615e-26,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
19,Te_i_Td_Te2.83,-1,4.948,4.674682790175931e-57,0.0%,2.678745278218615e-26,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
20,Te_i_Td_Te2.83,-2,7.319,3.43267998320659e-97,0.0%,2.678745278218615e-26,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
21,v_Cd,0,3.15,5.143176640194804e-28,0.0%,6.981402028132803e-19,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
22,v_Cd,-1,2.928,3.709593452997733e-24,0.0%,6.981402028132803e-19,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
23,v_Cd,-2,2.56,6.981364927055097e-19,100.0%,6.981402028132803e-19,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
24,v_Te,2,1.175,4478.057072248311,100.0%,4478.057073652211,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
25,v_Te,1,2.099,2.6768132692247543e-12,0.0%,4478.057073652211,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
26,v_Te,0,1.787,1.4038980139684042e-06,0.0%,4478.057073652211,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
27,v_Te,-1,2.925,4.1309476817635773e-25,0.0%,4478.057073652211,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
28,v_Te,-2,3.621,4.296998461275313e-37,0.0%,4478.057073652211,0.764862539057608,104585091.20255311,100570647.07112879,320.0,300.0
0,Cd_Te,2,1.666,0.0034568020000626757,100.0%,0.003457279001461402,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
1,Cd_Te,1,1.96,4.770013500545218e-07,0.0%,0.003457279001461402,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
2,Cd_Te,0,2.376,4.867196723853178e-14,0.0%,0.003457279001461402,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
3,Cd_Te,-1,3.459,5.17505444767702e-33,0.0%,0.003457279001461402,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
4,Cd_Te,-2,4.574,1.1518195642672457e-50,0.0%,0.003457279001461402,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
5,Cd_i_Td_Cd2.83,2,1.497,1.1573390336872413,90.4%,1.280801798647855,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
6,Cd_i_Td_Cd2.83,1,1.572,0.12346276495087043,9.6%,1.280801798647855,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
7,Cd_i_Td_Cd2.83,0,2.156,9.743437727048729e-12,0.0%,1.280801798647855,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
8,Cd_i_Td_Te2.83,2,1.013,16362268.057915065,100.0%,16362268.060745893,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
9,Cd_i_Td_Te2.83,1,1.612,0.0028308273477880906,0.0%,16362268.060745893,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
10,Cd_i_Td_Te2.83,0,2.471,5.341799984765957e-18,0.0%,16362268.060745893,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
11,Te_Cd,2,5.187,6.899668136310286e-58,0.0%,1.0739388193605238e-36,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
12,Te_Cd,1,4.453,1.1884713478125766e-44,0.0%,1.0739388193605238e-36,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
13,Te_Cd,0,3.962,1.0739388074746334e-36,100.0%,1.0739388193605238e-36,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
14,Te_Cd,-1,4.72,1.1768800477108658e-48,0.0%,1.0739388193605238e-36,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
15,Te_Cd,-2,5.411,1.4310321820271014e-60,0.0%,1.0739388193605238e-36,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
16,Te_i_Td_Te2.83,2,4.351,1.822325787400342e-44,0.0%,1.9900632141046484e-23,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
17,Te_i_Td_Te2.83,1,3.618,3.8280963773832137e-32,0.0%,1.9900632141046484e-23,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
18,Te_i_Td_Te2.83,0,3.099,1.990063210276552e-23,100.0%,1.9900632141046484e-23,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
19,Te_i_Td_Te2.83,-1,4.944,3.993968742663944e-54,0.0%,1.9900632141046484e-23,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
20,Te_i_Td_Te2.83,-2,7.312,3.372895568770918e-94,0.0%,1.9900632141046484e-23,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
21,v_Cd,0,3.15,9.579338127504308e-26,0.0%,1.719810250946155e-16,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
22,v_Cd,-1,2.924,7.945979515371849e-22,0.0%,1.719810250946155e-16,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
23,v_Cd,-2,2.553,1.719802304008706e-16,100.0%,1.719810250946155e-16,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
24,v_Te,2,1.182,52386.76369272222,100.0%,52386.76371444434,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
25,v_Te,1,2.102,3.601364537771702e-11,0.0%,52386.76371444434,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
26,v_Te,0,1.787,2.1722091006108587e-05,0.0%,52386.76371444434,0.7684768089499285,120278178.17688778,87448866.08409402,340.0,300.0
